quarter,department,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter4,finishing,Sunday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Sunday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,11,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,8,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,6,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Saturday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Sunday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Saturday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Monday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter4,finishing,Wednesday,6,0.21 - 0.36,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Wednesday,4,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter4,finishing,Tuesday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Saturday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Saturday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Saturday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Saturday,11,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Saturday,4,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter3,finishing,Thursday,4,0.21 - 0.36,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter5,finishing,Thursday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Monday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Monday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter1,finishing,Tuesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter1,finishing,Sunday,8,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Tuesday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Monday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,sewing,Thursday,5,0.65 - 0.80,33.89 - 44.23,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Thursday,10,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter3,sewing,Wednesday,8,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,0 - 5184,0 - 720,0 - 60,27 - 36,2,54.2 - 71.6,0.23 - 0.38
Quarter1,sewing,Monday,8,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter1,sewing,Thursday,6,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter4,sewing,Tuesday,1,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter3,sewing,Sunday,9,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter4,sewing,Wednesday,7,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter5,sewing,Saturday,8,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter1,sewing,Monday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Tuesday,10,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,27 - 36,1,36.8 - 54.2,0.23 - 0.38
Quarter1,sewing,Tuesday,2,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,27 - 36,1,36.8 - 54.2,0.23 - 0.38
Quarter3,sewing,Wednesday,10,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,27 - 36,1,36.8 - 54.2,0.23 - 0.38
Quarter4,sewing,Sunday,5,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,18 - 27,0,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Wednesday,2,0.65 - 0.80,44.22 - 54.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Wednesday,2,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Monday,9,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter1,sewing,Wednesday,6,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.23 - 0.38
Quarter2,sewing,Thursday,11,0.21 - 0.36,2.90 - 13.23,7.0 - 4630,20736 - 25920,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter4,sewing,Saturday,8,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter2,sewing,Wednesday,11,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter4,sewing,Monday,11,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Tuesday,10,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Monday,12,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.23 - 0.38
Quarter2,sewing,Thursday,3,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Monday,7,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Monday,8,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Monday,4,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter1,sewing,Wednesday,4,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,120 - 180,Sep-18,0,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Sunday,8,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Monday,10,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter2,sewing,Sunday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,sewing,Tuesday,2,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter1,sewing,Saturday,8,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,240 - 300,36 - 45,0,54.2 - 71.6,0.23 - 0.38
Quarter1,sewing,Thursday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,0 - 5184,0 - 720,0 - 60,36 - 45,0,54.2 - 71.6,0.23 - 0.38
Quarter4,sewing,Tuesday,11,0.36 - 0.50,44.22 - 54.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter4,sewing,Thursday,1,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,2,54.2 - 71.6,0.23 - 0.38
Quarter2,sewing,Saturday,5,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter5,sewing,Saturday,7,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Tuesday,8,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Sunday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,18 - 27,1,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Tuesday,7,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Sunday,1,0.65 - 0.80,44.22 - 54.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Wednesday,2,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter1,sewing,Saturday,5,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Sunday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Wednesday,11,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Tuesday,5,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Monday,10,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter3,sewing,Sunday,2,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Wednesday,8,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Wednesday,6,0.21 - 0.36,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.38 - 0.54
Quarter2,sewing,Thursday,10,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter4,sewing,Thursday,5,0.21 - 0.36,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Saturday,5,0.65 - 0.80,33.89 - 44.23,7.0 - 4630,10368 - 15552,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Sunday,5,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Sunday,10,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter2,sewing,Thursday,8,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Sunday,8,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Wednesday,8,0.65 - 0.80,33.89 - 44.23,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter4,sewing,Tuesday,10,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter2,sewing,Sunday,4,0.65 - 0.80,44.22 - 54.56,7.0 - 4630,10368 - 15552,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Sunday,3,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter5,sewing,Thursday,7,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Thursday,4,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,2,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Thursday,8,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Thursday,9,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Wednesday,10,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Thursday,2,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Thursday,11,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Sunday,5,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Tuesday,5,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Sunday,8,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter5,sewing,Thursday,6,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.38 - 0.54
Quarter2,sewing,Thursday,11,0.36 - 0.50,2.90 - 13.23,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,2,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Wednesday,7,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Saturday,4,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,2,54.2 - 71.6,0.38 - 0.54
Quarter3,sewing,Tuesday,12,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.38 - 0.54
Quarter2,sewing,Tuesday,4,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Saturday,6,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter4,sewing,Thursday,9,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,10368 - 15552,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,sewing,Wednesday,11,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter2,sewing,Monday,7,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Thursday,4,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter1,sewing,Monday,5,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Tuesday,7,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Saturday,3,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Wednesday,11,0.21 - 0.36,2.90 - 13.23,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter3,sewing,Wednesday,9,0.65 - 0.80,44.22 - 54.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Thursday,4,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Thursday,7,0.07 - 0.21,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Tuesday,5,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,10368 - 15552,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Thursday,7,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter2,sewing,Wednesday,3,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,sewing,Tuesday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter1,sewing,Saturday,5,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,sewing,Monday,1,0.36 - 0.50,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,sewing,Saturday,1,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,2,54.2 - 71.6,0.54 - 0.69
Quarter4,sewing,Saturday,5,0.36 - 0.50,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter4,sewing,Thursday,8,0.65 - 0.80,33.89 - 44.23,7.0 - 4630,10368 - 15552,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,sewing,Saturday,6,0.65 - 0.80,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter1,sewing,Thursday,5,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,sewing,Monday,11,0.65 - 0.80,2.90 - 13.23,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,2,36.8 - 54.2,0.54 - 0.69
Quarter2,sewing,Sunday,4,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter3,sewing,Monday,7,0.65 - 0.80,44.22 - 54.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter1,sewing,Sunday,7,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,Sep-18,0,54.2 - 71.6,0.54 - 0.69
Quarter4,sewing,Wednesday,1,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter2,sewing,Tuesday,11,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter3,sewing,Thursday,2,0.50 - 0.65,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,sewing,Tuesday,8,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,sewing,Sunday,11,0.65 - 0.80,33.89 - 44.23,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,sewing,Sunday,4,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter4,sewing,Wednesday,5,0.65 - 0.80,23.56 - 33.90,7.0 - 4630,0 - 5184,0 - 720,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,sewing,Monday,5,0.50 - 0.65,13.23 - 23.56,7.0 - 4630,5184 - 10368,0 - 720,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
